Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2024-08-01,162.70896911621094,163.31780951024942,157.78909759580785,157.98551125708607,12532700
2024-08-02,167.0199737548828,167.28512019193968,162.1786650355825,164.42747243770867,11899000
2024-08-05,165.03631591796875,167.80558657375636,163.67132495207383,167.80558657375636,10338800
2024-08-06,165.06576538085938,167.26546928497032,164.83009298759328,164.8791814133524,7454900
2024-08-07,166.9610595703125,168.63047072554318,164.9872132476314,165.53715049627039,8385500
2024-08-08,167.79574584960938,168.47333394349565,165.95939520648795,166.37183687575418,6386900
2024-08-09,167.47169494628906,168.17874214660318,166.59770812704772,167.05925324348217,5377300
2024-08-12,163.80882263183594,166.59772295674108,163.20979689447694,166.35222085100804,7208100
2024-08-13,164.28016662597656,164.7810004632668,163.46511289974498,164.3292700392365,3770000
2024-08-14,165.7630157470703,166.4209595564394,162.83663500193018,163.50439350065994,5476600
2024-08-15,164.89883422851562,166.62716346619132,163.74988629966637,166.41113542270736,9491400
2024-08-16,164.869384765625,165.32111520924317,163.798999237731,164.80065197148704,5640800
2024-08-19,165.3898468017578,166.19510085236536,165.1443447108543,165.1541594001574,3885300
2024-08-20,167.34405517578125,167.49135044219696,165.08543285709982,165.733561997847,4513600
2024-08-21,167.09854125976562,168.79741147741936,166.54861899168753,167.1280003109657,4082000
2024-08-22,167.08871459960938,168.15911508812587,166.09689156138728,167.80559148309234,4097300
2024-08-23,166.1263427734375,167.04943297547777,165.2228969330438,166.99051487479562,4771300
2024-08-26,167.28512573242188,167.89396610469151,165.664802990362,165.664802990362,6472400
2024-08-27,166.2049102783203,168.02163168717797,166.03797065990355,167.75648524180642,4456400
2024-08-28,166.01834106445312,168.11983848358824,165.5469812185118,166.37186469497397,5644800
2024-08-29,166.9708709716797,167.53062289821224,165.9004855149946,166.69590984490293,4413200
2024-08-30,168.45370483398438,168.78759905917346,166.63699838708996,167.0985435077772,7301600
2024-09-03,171.38009643554688,171.85145623419706,167.9136082599634,167.9528819997435,10101400
2024-09-04,172.73526000976562,172.83346683689888,170.50611187956912,170.50611187956912,7517500
2024-09-05,172.31300354003906,173.37357433871196,171.52739387610455,172.8236520692352,6061900
2024-09-06,172.4308319091797,173.85474093170762,172.18532983687288,172.59777152023742,5785700
2024-09-09,172.89239501953125,173.65836036620274,171.5175892650591,172.38174646033065,6450200
2024-09-10,174.5912628173828,174.73857306454173,172.74509725724593,172.74509725724593,6396300
2024-09-11,170.79087829589844,173.8154655970541,170.5061024877109,173.42266827867323,6828200
2024-09-12,170.34898376464844,171.46847264544837,169.33751639797208,170.7712401480584,4839800
2024-09-13,170.94802856445312,171.39974404914398,169.69105897814723,170.2507959890484,3918000
2024-09-16,174.0511474609375,174.1198802465595,171.18368517174022,171.5666677895104,6892300
2024-09-17,172.7156219482422,173.78600738259286,172.20497344448717,173.4521281619388,4757100
2024-09-18,170.79087829589844,172.73525049512094,169.46517610817014,171.90055244749732,5102900
2024-09-19,168.45370483398438,170.0445685414788,167.31458654232264,169.76960740374065,8692000
2024-09-20,171.0854949951172,171.39972987357524,168.41443109906197,168.42424578817503,28647500
2024-09-23,170.6436004638672,172.03805056597454,169.48482278313878,170.8792728852461,10265000
2024-09-24,170.12313842773438,171.36046360152685,169.51428303824957,169.76961480889955,5422400
2024-09-25,169.16075134277344,171.53720972870866,168.96435267152208,170.93819902588234,8916500
2024-09-26,170.0936737060547,171.46847940889413,168.27695225620553,168.41443282648947,4957200
2024-09-27,170.4275665283203,171.31136812423517,169.4750171496572,169.89727358336378,4599500
2024-09-30,170.08384704589844,170.8694567404072,169.602672533509,170.60431028435553,6296600
2024-10-01,169.9267120361328,170.86944661050555,169.10182864871774,170.1231256863097,7130600
2024-10-02,168.8268585205078,169.347321700367,168.00197517706195,168.91523566782195,6212700
2024-10-03,167.05926513671875,168.28677564350573,166.71557118537385,168.28677564350573,4794300
2024-10-04,165.84156799316406,167.0297896556855,165.23271265238327,165.81210894263924,6002800
2024-10-07,164.1132354736328,166.52898267860675,163.8677333789275,166.1165409576129,6325300
2024-10-08,165.13453674316406,165.55679316426148,163.27854145975778,163.8481081319485,7473000
2024-10-09,166.22454833984375,166.75482622622872,164.97739360922952,165.35056155640325,8758800
2024-10-10,165.91030883789062,166.73519226114885,165.34074219299566,165.76301357811536,6932300
2024-10-11,168.0117950439453,168.32604488975758,165.92994226033994,166.41113171764343,7036500
2024-10-14,169.40625,169.73031454392353,167.66810606112537,167.94306719216513,5909000
2024-10-15,170.44720458984375,171.763092245062,169.71069829239573,169.77943108834288,7172200
2024-10-16,169.2786102294922,169.48482359919166,167.81541234126502,168.78760603691032,6117000
2024-10-17,169.18038940429688,170.5551950361119,168.6697408906552,169.0821825801997,7045600
